"i","Receiver","From","Justification","Gift","Disposition","Value_USD","Date","country"
"1","President Barack Obama","The Right Honorable David Cameron, MP, Prime Minister of the United Kingdom of Great Britain and Northern Ireland.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Framed etching of Stonehenge","National Archives and Records Administration.","2090","2015-01-15","United Kingdom of Great Britain and Northern Ireland"
"2","President Barack Obama","His Excellency Narendra Modi, Prime Minister of the Republic of India.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Telegram facsimile from the U.S. to India’s Constituent Assembly in 1946. Reproduction of the cover page of report on India’s Constitutional Debates. 17″ 13″ framed photograph of Marian Anderson’s radio interview in India. Hand-carved wooden Jali box with small wooden latch and photo of Marian Anderson’s radio interview in India on the lid. CD set, title: All India Radio Interview with Ms. Marian Anderson, 18 November 1957, New Delhi. Hand-carved black wooden Jali box with painting on the lid. Blue Shahmina shawl. Red Shahmina shawl. Beige and cream colored Shahmina shawl","National Archives and Records Administration.","1231","2015-01-25","India"
"3","President Barack Obama","Mr. Rajnish Kumar, Secretary of the Rajghat Samadhi Committee of the Republic of India.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Model spinning wheel with white tread looped around the wheel. Cloth scroll listing the Seven Social Sins as articulated by Mahatma Ghandi. Book, title: Mahatma Gandhi. Book, title: An Autobiography—The Story of my Experiments with the Truth. Ivory colored cloth. 56″ 96″ bronze-colored bust of Mohandas Karamchard Gandhi on wood base. Small burlap tote bag with zipper. Small burlap bag with velcro closure. Large burlap bag with straps and zippers","National Archives and Records Administration.","929.01","2015-01-24","India"
"4","President Barack Obama","His Excellency Pranab Mukherjee, President of the Republic of India.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Book, title: Thoughts and Reflections. Book, title: Winged Wonders of Rashtrapati Bhavan RB Series 2012–2014. Photobook, title: State Visit of His Excellency Mr. Barack H. Obama, President of the United States of America and Mrs. Michelle Obama to India 25 to 27 January 2015","National Archives and Records Administration.","825","2015-01-26","United Kingdom of Great Britain and Northern Ireland"
"5","President Barack Obama","Her Excellency Dr. Angela Merkel, Chancellor of the Federal Republic of Germany.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Framed watercolor painting of men playing basketball. Book, title: Ulrich Zeh","National Archives and Records Administration.","440","2015-02-09","Germany"
"6","President Barack Obama","His Highness Sheikh Tamim bin Hamad Al Thani, Emir of the State of Qatar.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Silver bowl with the Qatari insignia in the center and bordered by an alphabetical listing of national capitals and their distance from Doha in kilometers","National Archives and Records Administration.","6500","2015-02-24","Qatar"
"7","President Barack Obama","His Excellency Enda Kenny, T.D., Prime Minister of Ireland.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Hunter green hardcover book of poetry authored by William Butler Yeats. Crystal presentation bowl with personalized inscription and quotes by Yeats along the top border with shamrocks with round base","National Archives and Records Administration.","10556","2015-03-16","Ireland"
"8","President Barack Obama","His Excellency Mohammad Ashraf Ghani, President of the Islamic Republic of Afghanistan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","10″ diameter blue lapis lazuli vase with stone inlay. 10″ diameter blue lapis lazuli bowl in mosaic pattern","National Archives and Records Administration.","2425","2015-03-23","Afghanistan"
"9","President Barack Obama","His Excellency Juan Carlos Varela, President of the Republic of Panama.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Two 15″ 10″ glass display panels in bright multicolor with stands. Shirt of sheer white cotton","National Archives and Records Administration.","384.79","2015-04-09","Panama"
"10","President Barack Obama","His Excellency Matteo Renzi, President of the Council of Ministers of the Italian Republic.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Four etchings on copper plates each depicting theater: Greek, Roman, Odeaon, and Gaul-Roman","National Archives and Records Administration.","760","2015-04-16","New Zealand"
